07/05/2022 12:57:04 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:04 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:04 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:04 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:04 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:04 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:04 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:04 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:04 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:04 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:04 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:04 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:04 MQTT-NODO: tp-final/Hanes/ESP32 2.
07/05/2022 12:57:04 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:04 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:04 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:04 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:04 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:04 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:04 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:04 MQTT-NODO: tp-final/Hanes/ESP32 2.
07/05/2022 12:57:04 MQTT-NODO: tp-final/Hanes/ESP32 2.
07/05/2022 12:57:04 MQTT-NODO: tp-final/Hanes/ESP32 2.
07/05/2022 12:57:04 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:04 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:04 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:04 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:04 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:04 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:04 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:04 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:04 MQTT-NODO: tp-final/Hanes/ESP32 2.
07/05/2022 12:57:04 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:04 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:04 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:04 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:04 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:04 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:04 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:04 MQTT-NODO: tp-final/Hanes/ESP32 2.
07/05/2022 12:57:04 MQTT-NODO: tp-final/Hanes/ESP32 2.
07/05/2022 12:57:04 MQTT-NODO: tp-final/Hanes/ESP32 2.
07/05/2022 12:57:04 MQTT-NODO: tp-final/Hanes/ESP32 2.
07/05/2022 12:57:04 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:04 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:04 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:05 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:05 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:05 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:05 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:05 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:05 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:05 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:05 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:05 MQTT-NODO: tp-final/Hanes/ESP32 0.
